('******************Wals on ', 'lamar', '***************')


('Total number of walks on ', 'lamar', ': ', 12279128)
('Total number of subclusters:', 359)
[cluster_id=0] N_children: 2 N_samples: 28255
> [cluster_id=1] N_children: 16 N_samples: 19595
> > [cluster_id=2] N_children: 11 N_samples: 974
> > > [cluster_id=3] N_children: 0 N_samples: 60
> > > [cluster_id=4] N_children: 0 N_samples: 62
> > > [cluster_id=5] N_children: 0 N_samples: 108
> > > [cluster_id=6] N_children: 0 N_samples: 46
> > > [cluster_id=7] N_children: 0 N_samples: 70
> > > [cluster_id=8] N_children: 0 N_samples: 94
> > > [cluster_id=9] N_children: 0 N_samples: 129
> > > [cluster_id=10] N_children: 0 N_samples: 45
> > > [cluster_id=11] N_children: 0 N_samples: 134
> > > [cluster_id=12] N_children: 0 N_samples: 41
> > > [cluster_id=13] N_children: 0 N_samples: 185
> > [cluster_id=14] N_children: 12 N_samples: 644
> > > [cluster_id=15] N_children: 0 N_samples: 44
> > > [cluster_id=16] N_children: 0 N_samples: 17
> > > [cluster_id=17] N_children: 0 N_samples: 37
> > > [cluster_id=18] N_children: 0 N_samples: 78
> > > [cluster_id=19] N_children: 0 N_samples: 70
> > > [cluster_id=20] N_children: 0 N_samples: 42
> > > [cluster_id=21] N_children: 0 N_samples: 15
> > > [cluster_id=22] N_children: 0 N_samples: 60
> > > [cluster_id=23] N_children: 0 N_samples: 70
> > > [cluster_id=24] N_children: 0 N_samples: 104
> > > [cluster_id=25] N_children: 0 N_samples: 75
> > > [cluster_id=26] N_children: 0 N_samples: 32
> > [cluster_id=27] N_children: 16 N_samples: 908
> > > [cluster_id=28] N_children: 0 N_samples: 44
> > > [cluster_id=29] N_children: 0 N_samples: 59
> > > [cluster_id=30] N_children: 0 N_samples: 22
> > > [cluster_id=31] N_children: 0 N_samples: 24
> > > [cluster_id=32] N_children: 0 N_samples: 25
> > > [cluster_id=33] N_children: 0 N_samples: 27
> > > [cluster_id=34] N_children: 0 N_samples: 108
> > > [cluster_id=35] N_children: 0 N_samples: 65
