('******************Wals on ', 'red_river', '***************')


('Total number of walks on ', 'red_river', ': ', 675731)
('Total number of subclusters:', 72)
[cluster_id=0] N_children: 6 N_samples: 7943
> [cluster_id=1] N_children: 14 N_samples: 2347
> > [cluster_id=2] N_children: 0 N_samples: 30
> > [cluster_id=3] N_children: 0 N_samples: 26
> > [cluster_id=4] N_children: 0 N_samples: 22
> > [cluster_id=5] N_children: 0 N_samples: 29
> > [cluster_id=6] N_children: 0 N_samples: 8
> > [cluster_id=7] N_children: 0 N_samples: 536
> > [cluster_id=8] N_children: 0 N_samples: 23
> > [cluster_id=9] N_children: 0 N_samples: 122
> > [cluster_id=10] N_children: 0 N_samples: 512
> > [cluster_id=11] N_children: 0 N_samples: 221
> > [cluster_id=12] N_children: 0 N_samples: 295
> > [cluster_id=13] N_children: 0 N_samples: 286
> > [cluster_id=14] N_children: 0 N_samples: 10
> > [cluster_id=15] N_children: 0 N_samples: 227
> [cluster_id=16] N_children: 10 N_samples: 607
> > [cluster_id=17] N_children: 0 N_samples: 245
> > [cluster_id=18] N_children: 0 N_samples: 16
> > [cluster_id=19] N_children: 0 N_samples: 42
> > [cluster_id=20] N_children: 0 N_samples: 14
> > [cluster_id=21] N_children: 0 N_samples: 170
> > [cluster_id=22] N_children: 0 N_samples: 8
> > [cluster_id=23] N_children: 0 N_samples: 74
> > [cluster_id=24] N_children: 0 N_samples: 6
> > [cluster_id=25] N_children: 0 N_samples: 22
> > [cluster_id=26] N_children: 0 N_samples: 10
> [cluster_id=27] N_children: 11 N_samples: 1660
> > [cluster_id=28] N_children: 0 N_samples: 32
> > [cluster_id=29] N_children: 0 N_samples: 42
> > [cluster_id=30] N_children: 0 N_samples: 234
> > [cluster_id=31] N_children: 0 N_samples: 30
> > [cluster_id=32] N_children: 0 N_samples: 395
> > [cluster_id=33] N_children: 0 N_samples: 248
> > [cluster_id=34] N_children: 0 N_samples: 108
> > [cluster_id=35] N_children: 0 N_samples: 376
> > [cluster_id=36] N_children: 0 N_samples: 173
> > [cluster_id=37] N_children: 0 N_samples: 10
> > [cluster_id=38] N_children: 0 N_samples: 12
> [cluster_id=39] N_children: 10 N_samples: 232
> > [cluster_id=40] N_children: 0 N_samples: 24
> > [cluster_id=41] N_children: 0 N_samples: 32
> > [cluster_id=42] N_children: 0 N_samples: 23
> > [cluster_id=43] N_children: 0 N_samples: 34
> > [cluster_id=44] N_children: 0 N_samples: 14
> > [cluster_id=45] N_children: 0 N_samples: 10
> > [cluster_id=46] N_children: 0 N_samples: 20
> > [cluster_id=47] N_children: 0 N_samples: 12
> > [cluster_id=48] N_children: 0 N_samples: 31
> > [cluster_id=49] N_children: 0 N_samples: 32
> [cluster_id=50] N_children: 13 N_samples: 2476
> > [cluster_id=51] N_children: 0 N_samples: 416
> > [cluster_id=52] N_children: 0 N_samples: 55
> > [cluster_id=53] N_children: 0 N_samples: 38
> > [cluster_id=54] N_children: 0 N_samples: 16
> > [cluster_id=55] N_children: 0 N_samples: 626
> > [cluster_id=56] N_children: 0 N_samples: 20
> > [cluster_id=57] N_children: 0 N_samples: 691
> > [cluster_id=58] N_children: 0 N_samples: 458
> > [cluster_id=59] N_children: 0 N_samples: 12
> > [cluster_id=60] N_children: 0 N_samples: 86
> > [cluster_id=61] N_children: 0 N_samples: 16
> > [cluster_id=62] N_children: 0 N_samples: 10
> > [cluster_id=63] N_children: 0 N_samples: 32
> [cluster_id=64] N_children: 7 N_samples: 621
> > [cluster_id=65] N_children: 0 N_samples: 35
> > [cluster_id=66] N_children: 0 N_samples: 23
> > [cluster_id=67] N_children: 0 N_samples: 26
> > [cluster_id=68] N_children: 0 N_samples: 202
> > [cluster_id=69] N_children: 0 N_samples: 248
> > [cluster_id=70] N_children: 0 N_samples: 3
> > [cluster_id=71] N_children: 0 N_samples: 84
