*************Number of Devices*************
Number of walks with  1  devices:  36584301
Number of walks with  2  devices:  10218184
Number of walks with  3  devices:  2347977
Number of walks with  4  devices:  712916
Number of walks with  5  devices:  162350
Number of walks with  6  devices:  64764
Number of walks with  7  devices:  15561
Number of walks with  15  devices:  90
Number of walks with  10  devices:  1950
Number of walks with  8  devices:  8992
Number of walks with  9  devices:  2520
Number of walks with  11  devices:  462
Number of walks with  17  devices:  102
Number of walks with  12  devices:  456
Number of walks with  18  devices:  72
Number of walks with  19  devices:  38
Number of walks with  21  devices:  42
Number of walks with  23  devices:  46
Number of walks with  13  devices:  195
Number of walks with  16  devices:  96
Number of walks with  14  devices:  154
*************Total Distance****************
Number of walks with  1  distance covered:  40702952
Number of walks with  2  distance covered:  7366859
Number of walks with  3  distance covered:  1544053
Number of walks with  4  distance covered:  364167
Number of walks with  5  distance covered:  98094
Number of walks with  7  distance covered:  10357
Number of walks with  6  distance covered:  28862
Number of walks with  9  distance covered:  1397
Number of walks with  8  distance covered:  3721
Number of walks with  10  distance covered:  502
Number of walks with  11  distance covered:  192
Number of walks with  12  distance covered:  65
Number of walks with  13  distance covered:  20
Number of walks with  14  distance covered:  15
Number of walks with  15  distance covered:  8
Number of walks with  16  distance covered:  4
********Devices Over Distance**************
Devices:  1 	Length:  1 	Total Walks:  28125957
Devices:  1 	Length:  2 	Total Walks:  6517774
Devices:  1 	Length:  3 	Total Walks:  1450469
Devices:  1 	Length:  4 	Total Walks:  350750
Devices:  1 	Length:  5 	Total Walks:  95342
Devices:  1 	Length:  7 	Total Walks:  10103
Devices:  1 	Length:  6 	Total Walks:  28216
Devices:  1 	Length:  9 	Total Walks:  1337
Devices:  1 	Length:  8 	Total Walks:  3605
Devices:  1 	Length:  10 	Total Walks:  472
Devices:  1 	Length:  11 	Total Walks:  176
Devices:  1 	Length:  12 	Total Walks:  59
Devices:  1 	Length:  13 	Total Walks:  18
Devices:  1 	Length:  14 	Total Walks:  11
Devices:  1 	Length:  15 	Total Walks:  8
Devices:  1 	Length:  16 	Total Walks:  4
Devices:  2 	Length:  1 	Total Walks:  9352030
Devices:  2 	Length:  2 	Total Walks:  760534
Devices:  2 	Length:  3 	Total Walks:  88846
Devices:  2 	Length:  4 	Total Walks:  12986
Devices:  2 	Length:  5 	Total Walks:  2686
Devices:  2 	Length:  6 	Total Walks:  614
Devices:  2 	Length:  7 	Total Walks:  254
Devices:  2 	Length:  9 	Total Walks:  60
Devices:  2 	Length:  8 	Total Walks:  116
Devices:  2 	Length:  10 	Total Walks:  30
Devices:  2 	Length:  14 	Total Walks:  4
Devices:  2 	Length:  13 	Total Walks:  2
Devices:  2 	Length:  12 	Total Walks:  6
Devices:  2 	Length:  11 	Total Walks:  16
Devices:  3 	Length:  1 	Total Walks:  2272332
Devices:  3 	Length:  2 	Total Walks:  71424
Devices:  3 	Length:  3 	Total Walks:  3864
Devices:  3 	Length:  4 	Total Walks:  315
Devices:  3 	Length:  5 	Total Walks:  42
Devices:  4 	Length:  1 	Total Walks:  697608
Devices:  4 	Length:  2 	Total Walks:  14416
Devices:  4 	Length:  3 	Total Walks:  744
Devices:  4 	Length:  4 	Total Walks:  92
Devices:  4 	Length:  6 	Total Walks:  32
Devices:  4 	Length:  5 	Total Walks:  24
Devices:  5 	Length:  1 	Total Walks:  160775
Devices:  5 	Length:  2 	Total Walks:  1485
Devices:  5 	Length:  3 	Total Walks:  90
Devices:  6 	Length:  1 	Total Walks:  63882
Devices:  6 	Length:  2 	Total Walks:  834
Devices:  6 	Length:  3 	Total Walks:  24
Devices:  6 	Length:  4 	Total Walks:  24
Devices:  7 	Length:  1 	Total Walks:  15463
Devices:  7 	Length:  2 	Total Walks:  98
Devices:  15 	Length:  1 	Total Walks:  90
Devices:  10 	Length:  1 	Total Walks:  1850
Devices:  10 	Length:  2 	Total Walks:  100
Devices:  8 	Length:  1 	Total Walks:  8872
Devices:  8 	Length:  2 	Total Walks:  104
Devices:  8 	Length:  3 	Total Walks:  16
Devices:  9 	Length:  1 	Total Walks:  2484
Devices:  9 	Length:  2 	Total Walks:  36
Devices:  11 	Length:  1 	Total Walks:  462
Devices:  17 	Length:  1 	Total Walks:  102
Devices:  12 	Length:  1 	Total Walks:  456
Devices:  18 	Length:  1 	Total Walks:  72
Devices:  19 	Length:  1 	Total Walks:  38
Devices:  21 	Length:  1 	Total Walks:  42
Devices:  23 	Length:  1 	Total Walks:  46
Devices:  13 	Length:  1 	Total Walks:  169
Devices:  13 	Length:  2 	Total Walks:  26
Devices:  16 	Length:  1 	Total Walks:  96
Devices:  14 	Length:  1 	Total Walks:  126
Devices:  14 	Length:  2 	Total Walks:  28
